devices,date,time_slot,fbt
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,03:30-04:00,1.34
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,04:00-04:30,1.27
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,04:30-05:00,0.71
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,05:00-05:30,0.41
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,05:30-06:00,0.17
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,06:00-06:30,0.1
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,06:30-07:00,-0.02
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,07:00-07:30,-0.08
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,07:30-08:00,-0.21
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,08:00-08:30,-0.24
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,08:30-09:00,0.02
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,09:00-09:30,0.44
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,09:30-10:00,1.17
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,10:00-10:30,4.34
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,10:30-11:00,8.16
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,11:00-11:30,9.07
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,11:30-12:00,9.83
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,12:00-12:30,10.09
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,12:30-13:00,10.17
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,13:00-13:30,9.2
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,13:30-14:00,9.02
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,14:00-14:30,8.54
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,14:30-15:00,8.45
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,15:00-15:30,8.41
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,15:30-16:00,8.1
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-04,16:00-16:30,7.84
